block_num,trial_num,target,kl_prev,kl_target,ent_p,block_set
3,5,eat,9.592564487653824,3.930325930617136,1.3327717033260702,2
3,6,eat,2.8668813256831833,2.159347812010522,0.87337337592386,2
4,55,fall,NA,11.826246750864822,1.989291461319913,2
4,56,fall,2.4525040563405,8.079532774726294,1.936742418502517,2
4,57,fall,0.9103953836841855,5.125890767865356,1.7818965007631515,2
4,58,fall,1.3683307212786646,4.27598683626457,1.595637790830504,2
4,59,fall,1.4436724494159152,4.206672537116357,1.6649520899787156,2
4,60,fall,1.9335739203198405,5.300975958928611,1.9521988568777078,2
5,31,drive,NA,1.830232731677234,0.8655047413150777,2
5,32,drive,1.689806179791541,2.104472914389791,0.9282280661099149,2
5,33,drive,0.7536306367794314,2.859769312138456,1.183822190883427,2
5,34,drive,1.0468053454756656,2.6687498679351576,1.1305432241913618,2
5,35,drive,2.268546750063796,3.3336490315015777,1.5018068316786308,2
5,36,drive,3.0387961057338333,8.641029525329627,1.720627783470265,2
6,49,turn,NA,11.834219972124934,0.9451504691335637,2
6,50,turn,2.4408980057530094,10.714032623274358,1.7199502276329066,2
6,51,turn,9.06398505789579,10.382010727680198,1.0158093521733795,2
6,52,turn,0.3797059411678045,11.042178071422553,1.0464171891334857,2
6,53,turn,1.6226850259519119,10.234272028820712,1.4557991115032056,2
6,54,turn,1.1905223155477167,10.639635520543195,1.4489597400128444,2
7,43,put,NA,12.540995421819872,1.2745567898750008,2
7,44,put,4.222140058072108,8.107304223712275,2.2543737250596316,2
7,45,put,13.708539937800747,11.766011787663867,2.049540424031001,2
7,46,put,8.459268189638658,8.113414028119042,2.2482639206528625,2
7,47,put,6.762565903994466,7.519030709403879,2.0455994381313527,2
7,48,put,3.3645082888851454,7.649897206098442,2.366393316381166,2
8,37,cut,NA,7.18449848720269,2.1410016116704975,2
8,38,cut,5.843221733390152,3.7219230615492216,1.1135389240124192,2
8,39,cut,0.5559799799594674,5.20655572330216,1.7012315453263465,2
8,40,cut,3.6966627666551624,9.08276667256194,2.551376567004411,2
8,41,cut,10.730666006720574,0.9441354864693765,0.4728756048086846,2
8,42,cut,0.6839350643489501,0.6874074445925397,0.3487915220131753,2
9,25,fit,NA,11.651003001963712,1.827579817723779,2
9,26,fit,5.501638779471594,12.513383588859625,1.3021626314932608,2
9,27,fit,3.3924384874824085,11.074685295012424,1.7046984826152918,2
9,28,fit,2.932138238612901,11.959137966921753,1.85640824500706,2
9,29,fit,4.672427763153506,11.486497851983009,1.6551215670390809,2
9,30,fit,2.2734889525890845,11.968346376315019,1.5018123575134301,2
10,13,knock,NA,11.406936743453691,2.0632250161663213,2
10,14,knock,8.533412274191729,11.589042572027799,1.8811191875922157,2
10,15,knock,14.848311032844736,12.291873430070147,1.1782883295498694,2
10,16,knock,3.4558703727033753,10.434508229577974,1.6541037212567284,2
10,17,knock,1.1786158861488036,10.707689953147174,1.6908851223806691,2
10,18,knock,1.8912717726918238,10.6721443415452,1.7264307339826415,2
11,7,stack,NA,8.757315034586364,2.362511191816212,2
11,8,stack,2.4885136897630744,8.655616763945254,2.1272459631685483,2
11,9,stack,3.514558757670785,8.46442165913693,1.981477568688096,2
11,10,stack,3.7833972644270295,5.869305250703618,1.5439224835224274,2
11,11,stack,0.07444102739547116,5.0193280571084635,1.5595137765180707,2
11,12,stack,0.6574330927502028,4.259694595065011,1.332325548319364,2
